date,returns,vol_current,vol_mean,vol_std,vol_shock_k2.0,vol_shock_k2.5,vol_shock_k3.0,vol_shock_k3.5
2021-05-14,0.003462784966600241,0.007896548406854343,0.007605245011364145,0.001004501212533693,0,0,0,0
2021-05-17,-0.006048832875327648,0.00789631795840496,0.007701648061293117,0.0009287953049815102,0,0,0,0
2021-05-18,-0.004782712322237259,0.00795318898390993,0.0078067858674204975,0.0008209670038343001,0,0,0,0
2021-05-19,0.007831209886004276,0.007936424010087326,0.007911558779993886,0.0006781771112402946,0,0,0,0
2021-05-20,0.012459504629739548,0.00775333359890965,0.007997297867272078,0.0005185209800813566,0,0,0,0
2021-05-21,0.0044671496299542035,0.007801607347582347,0.008084904710850877,0.00025122648425178067,0,0,0,0
2021-05-24,0.01094296418029006,0.005797651512828493,0.007985440320068309,0.0005686577318331045,0,0,0,0
2021-05-25,0.008166535693924226,0.00545675508285149,0.007869281653414698,0.0008021752621497734,0,0,0,0
2021-05-26,0.0062051995292609075,0.0034079485856657347,0.007622279960297256,0.0012707304040440735,0,0,0,0
2021-05-27,-0.009971899445583743,0.0033396744641758713,0.007363860221173931,0.001571134879460875,0,0,0,0
2021-05-28,0.012956726527919571,0.0035596346936714656,0.007115880141717691,0.0017593088805117293,0,0,0,0
2021-05-31,0.005747996910167696,0.0035848142747148984,0.006874019342587715,0.0018973756406571608,0,0,0,0
2021-06-01,0.007326531380595691,0.0033619900981025556,0.006629765079354359,0.0020216787681584677,0,0,0,0
2021-06-02,0.0022425211918253307,0.003468561362584764,0.006391531644454128,0.0021019229465772974,0,0,0,0
2021-06-03,0.017527111084592484,0.004079325584444028,0.006179921329746377,0.002111470413724349,0,0,0,0
2021-06-04,0.007161286539419942,0.004077440853840588,0.005973750530907848,0.0021050560030013363,0,0,0,0
2021-06-07,-0.011113132709872242,0.00387557958598234,0.0057650018914651765,0.0020952534109451846,0,0,0,0
2021-06-08,-0.028628622735100473,0.005884270613227689,0.00565061378018952,0.0020179508172022205,0,0,0,0
2021-06-09,0.009864533139376297,0.005879622534620308,0.0055457432637682465,0.0019438248684993525,0,0,0,0
2021-06-10,-0.006992272488558937,0.005843646335090333,0.0054427167943774555,0.0018652627975734512,0,0,0,0
2021-06-11,0.021275631242539284,0.0062661797969805685,0.005361198363883767,0.001786334049921667,0,0,0,0
2021-06-14,0.0073830766271620885,0.006227926322268087,0.0052777787820769235,0.0016985133884328087,0,0,0,0
2021-06-15,0.004141820638604132,0.00625858211642975,0.005193048438702915,0.0015972769211489196,0,0,0,0
2021-06-16,-0.007927685466885048,0.006256761875885457,0.005109065331992821,0.001485701875605651,0,0,0,0
2021-06-17,0.002506413469760993,0.006454032820821925,0.005044100293088435,0.0013892683601425797,0,0,0,0
2021-06-18,0.013125772104241262,0.00637964331654107,0.004973002091536371,0.0012721717005929657,0,0,0,0
2021-06-21,-0.003730666221502754,0.006529216458469059,0.005009580338818399,0.0013071663407283175,0,0,0,0
2021-06-22,0.0053473987891856645,0.006594166659183773,0.005066450917635013,0.0013516316904241376,0,0,0,0
2021-06-23,-0.002246425646934447,0.0067575234904259495,0.005233929662873024,0.0013428048054212511,0,0,0,0
2021-06-24,0.0020699121921461394,0.006948233731120561,0.005414357626220259,0.0013170725281801848,0,0,0,0
2021-06-25,0.007537761284898359,0.006889826128843641,0.0055808671979788674,0.0012802430328738477,0,0,0,0
2021-06-28,0.011286795384571224,0.0068764469791380125,0.005745448833200023,0.0012203101341150705,0,0,0,0
2021-06-29,0.003008941464351489,0.006997523472330908,0.00592722550191144,0.0011126057574649937,0,0,0,0
2021-06-30,-0.0010567076111316354,0.007060358147999094,0.006106815341182157,0.0009764018234413908,0,0,0,0
2021-07-01,0.006055873060949235,0.006765004749702393,0.006241099299445075,0.0008607128272985446,0,0,0,0
2021-07-02,0.0022511079120444144,0.00688969323690097,0.006381711918598094,0.0007041053638115725,0,0,0,0
2021-07-05,-0.0064353960866594395,0.006853374605202881,0.006530601669559122,0.0003918865414581615,0,0,0,0
2021-07-06,-0.03992544981681356,0.00884893969363546,0.0066788351235795105,0.0006255696514642153,1,1,1,0
2021-07-07,0.024918991135157498,0.009605200658900085,0.006865114029793498,0.0008785840358747031,1,1,1,0
2021-07-08,-0.009988837276295293,0.009596238510609473,0.007052743638569456,0.0010356242849093363,1,0,0,0
2021-07-09,-0.020033753309861124,0.009517074222704473,0.007215288359855651,0.0011540241344058795,0,0,0,0
2021-07-12,-0.037739210475526086,0.011459772096426566,0.007476880648563576,0.0014685440380033858,1,1,0,0
2021-07-13,0.0009565686955179675,0.011575313349760882,0.007742717210230131,0.0016994631967031393,1,0,0,0
2021-07-14,-0.013587249718698402,0.011580677388539995,0.00800891298586286,0.0018634998091784083,0,0,0,0
2021-07-15,0.010946082146400915,0.011419408650830545,0.00825718177736329,0.0019729897128578527,0,0,0,0
2021-07-16,0.004165636206256762,0.01151165416272048,0.00851378231967226,0.002048242414758977,0,0,0,0
2021-07-19,-0.042945871270135605,0.013445734130464406,0.008859608203272026,0.0022676718756179915,1,0,0,0
2021-07-20,0.02394833978013855,0.01355867360833152,0.009207833550729414,0.0024303795611408997,0,0,0,0
2021-07-21,-0.0019634176032168327,0.013571239002474445,0.009548519326331838,0.0025437446826920202,0,0,0,0
2021-07-22,0.018004548351812755,0.013327910521761629,0.009867503165863893,0.002599892730960577,0,0,0,0
2021-07-23,-0.0192011873197957,0.013269752674521663,0.010186499493147793,0.0026067015867353507,0,0,0,0
2021-07-26,0.0030579352631954215,0.013513695802339427,0.010518361934307864,0.0025855275764269975,0,0,0,0
2021-07-27,0.003315759285304587,0.013500120378282398,0.01084349177960544,0.0025276835217628506,0,0,0,0
2021-07-28,0.0001096379597940178,0.013551411799427964,0.011168044462176884,0.0024312498152782034,0,0,0,0
2021-07-29,0.012943691418638048,0.013412936709851293,0.011500441060184328,0.0022448956152993937,0,0,0,0
2021-07-30,0.012716450216450292,0.013097130633533295,0.011810812930015945,0.0019883261712237417,0,0,0,0
2021-08-02,0.003183084615091092,0.013233063373130195,0.012129797368412309,0.0016307402006793766,0,0,0,0
2021-08-03,0.013863736665094217,0.011882616051530534,0.012281481186307064,0.0014393688373577447,0,0,0,0
2021-08-04,0.0017261565248716249,0.011880263838096233,0.012395234345266872,0.0012998698846794746,0,0,0,0
2021-08-05,0.008098955601840041,0.011910606483787053,0.01251095274392575,0.0011294210009596562,0,0,0,0
2021-08-06,-0.0030470811192448988,0.011960065779896958,0.012633102321785375,0.0008967192135383117,0,0,0,0
2021-08-09,0.013723955421372391,0.010307614317825255,0.012575494432855308,0.0010063696838827978,0,0,0,0
2021-08-10,0.0018899004309267387,0.010263794376483797,0.012509918484191454,0.0011121437270546631,0,0,0,0
2021-08-11,-0.003405679557848873,0.010361015074813356,0.012448935368505122,0.001196053329297009,0,0,0,0
2021-08-12,-0.0034909669389228126,0.010463063444290014,0.012401118108178096,0.0012569461738088847,0,0,0,0
2021-08-13,0.0029562839510735017,0.010500402553881537,0.012350555527736149,0.0013136690685264523,0,0,0,0
2021-08-16,0.01025017501197456,0.007015558034720798,0.01202904672294897,0.0017469405716694756,0,0,0,0
2021-08-17,-0.005740503005193576,0.005942512734519088,0.011648238679258347,0.0021738889251510097,0,0,0,0
2021-08-18,-0.001577298637654101,0.005960795599159106,0.011267716509092581,0.0024660132349659386,0,0,0,0
2021-08-19,0.010220876746954266,0.005444107652052081,0.010873526365607103,0.0027348194166406307,0,0,0,0
2021-08-20,-0.0330363312361347,0.007574755413450545,0.010588776502553547,0.0027684676283207138,0,0,0,0
2021-08-23,-0.022994817327727013,0.00825235413921989,0.01032570941939757,0.0027255465692026695,0,0,0,0
2021-08-24,-9.238871009953353e-05,0.008387543815764684,0.010070080591271683,0.0026508802602829046,0,0,0,0
2021-08-25,0.00832345196113149,0.008165968108377952,0.009800808406719184,0.0025502526614966992,0,0,0,0
2021-08-26,-0.006437325798938631,0.008115950860153502,0.009535959114234294,0.00242747817195764,0,0,0,0
2021-08-27,0.009284308903098948,0.008054568810209014,0.009283831023068078,0.0022964682081195974,0,0,0,0
2021-08-30,0.011376789521778896,0.007995884815996284,0.009021972095211385,0.002113770959343875,0,0,0,0
2021-08-31,0.0025072658002920356,0.008003911862074194,0.008828036885738567,0.0020130295470254167,0,0,0,0
2021-09-01,0.00238833770193847,0.007977881466721544,0.008632917767169833,0.001886778326949969,0,0,0,0
